Action;Time;ISIN;Ticker;Name;ID;No. of shares;Price / share;Currency (Price / share);Total;Withholding tax;Currency (Withholding tax);Stamp duty reserve tax;Currency (Stamp duty reserve tax);Currency conversion fee;Currency (Currency conversion fee);French transaction tax;Currency (French transaction tax)
Market buy;2024-01-02 14:43:14.382;NL0010273215;ASML;ASML;EOF8202683786;0.1600000000;659.70;EUR;105.55;;;;;;;;
Market buy;2024-01-02 14:43:42.456;US1912161007;KO;Coca-Cola;EOF8202684239;20.000.000.000;59.12;USD;108.09;;;;;0.16;EUR;;
Dividend (Dividend);27/12/2024 15:02;IE00B3XXRP09;VUSA;Vanguard S&P 500 (Dist);;248.128.340.000;0.24;GBP;7.30;0.00;GBP;;;;;;
Dividend (Dividend);10/12/2024 12:39;US4781601046;JNJ;Johnson & Johnson;;70.572.763.000;1.05;USD;7.04;1.31;USD;;;;;;
Dividend (Dividend manufactured payment);31/12/2024 14:26;US5021751020;LTC;LTC Properties;;439.754.260.000;0.16;USD;6.83;1.25;USD;;;;;;
Dividend (Dividend);27/05/2024 12:36;DE0006969603;PUM;Puma;;100.000.000.000;0.60;EUR;6.04;2.16;EUR;;;;;;
Dividend (Dividend);29/11/2024 12:32;US5021751020;LTC;LTC Properties;;389.754.260.000;0.16;USD;5.96;1.11;USD;;;;;;
Market buy;2024-01-19 08:05:16.256;IE00B1XNHC34;INRG;iShares Global Clean Energy (Dist);EOF9001329211;0.6853000000;625.00;GBX;5.00;;;;;0.01;EUR;;
Market buy;2024-01-19 08:05:16.633;IE00B8GKDB10;VHYL;Vanguard FTSE All-World High Dividend Yield (Dist);EOF9001329232;0.1766640000;48.49;GBP;9.99;;;;;0.01;EUR;;
Market buy;2024-01-19 08:05:16.661;IE00BFMXYP42;VUKG;Vanguard FTSE 100 (Acc);EOF9001329235;0.4648920000;36.85;GBP;20.00;;;;;0.03;EUR;;
Market buy;2024-01-19 08:05:19.889;IE00B3WJKG14;IITU;iShares S&P 500 Information Technology Sector (Acc);EOF9001329286;0.6415064900;2003.00;GBX;15.00;;;;;0.02;EUR;;
Market buy;2024-01-19 08:05:20.197;IE00BGL86Z12;ECAR;iShares Electric Vehicles & Driving Technology (Acc);EOF9001329306;15.492.200.000;7.01;USD;9.99;;;;;0.01;EUR;;
Market buy;2024-01-19 08:05:20.655;IE00B3XXRP09;VUSA;Vanguard S&P 500 (Dist);EOF9001329321;0.2990580000;71.61;GBP;25.00;;;;;0.04;EUR;;
Market buy;2024-01-19 08:05:27.013;IE00BYVQ9F29;NQSE;iShares NASDAQ 100 EUR Hedged (Acc);EOF9001329475;0.4840170000;10.33;EUR;5.00;;;;;;;;
Market buy;2024-01-19 08:05:28.634;IE00BK5BCD43;AIAI;L&G Artificial Intelligence (Acc);EOF9001329487;0.6013720000;18.06;USD;10.00;;;;;0.01;EUR;;
Market buy;2024-01-22 14:35:14.362;US7561091049;O;Realty Income;EOF9201358765;0.0381080000;57.09;USD;2.00;;;;;;;;
Market buy;2024-01-22 14:35:14.418;US46625H1005;JPM;JPMorgan Chase & Co;EOF9201358768;0.0126783000;171.60;USD;2.00;;;;;;;;
Market buy;2024-01-22 14:35:14.502;US1101221083;BMY;Bristol-Myers Squibb;EOF9201358774;0.0435460000;49.96;USD;2.00;;;;;;;;
Market buy;2024-01-22 14:35:14.536;US57636Q1040;MA;Mastercard;EOF9201358780;0.0049445000;440.00;USD;2.00;;;;;;;;
Market buy;2024-01-22 14:35:14.546;US0378331005;AAPL;Apple;EOF9201358785;0.1122746000;193.88;USD;20.01;;;;;0.03;EUR;;
Market buy;2024-01-22 14:35:14.567;US1912161007;KO;Coca-Cola;EOF9201358794;0.0364230000;59.73;USD;2.00;;;;;;;;
Market buy;2024-01-22 14:35:14.6;US5486611073;LOW;Lowe's;EOF9201358798;0.0050203000;216.68;USD;1.00;;;;;;;;
Market buy;2024-01-22 14:35:14.649;US7134481081;PEP;PepsiCo;EOF9201358813;0.0131392000;165.58;USD;2.00;;;;;;;;
